smiles,formula,precusor_mz,level,mz,
O=C(O)CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11H9F13O2S,451.0042874,3,105.00157540000001 338.97070648399995 358.976934736 378.983162988 451.00429235599995,378.983162988 338.97070648399995 105.00157540000001 451.00429235599995 358.976934736 
CC(C)(CS(=O)(=O)O)NC(=O)CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H18F13NO4S2,586.0396869,3,135.01214008399998 152.03868917999998 206.049253864 586.0396918839999,135.01214008399998 152.03868917999998 206.049253864 586.0396918839999
CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H18F13NO5S2,602.0346015,3,152.03868917999998 206.049253864 256.031889548 602.0346065040001,152.03868917999998 206.049253864 256.031889548 602.0346065040001
CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H18F13NO5S2,602.0346015,3,135.01214008399998 152.03868917999998 206.049253864 256.031889548 602.0346065040001,152.03868917999998 206.049253864 256.031889548 135.01214008399998 602.0346065040001
O=C(O)CCS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11H9F13O4S,482.9941166,2b,82.96085346000001 136.99140464 216.98937254 254.98617898 266.98617898 282.983321856 286.992407232 482.994121596,266.98617898 254.98617898 216.98937254 286.992407232 82.96085346000001 282.983321856 136.99140464
NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H2F17NO2S,497.946199,1,77.96552424000001 497.94620401200007 118.9925661 168.98937254,77.96552424000001 497.94620401200007 118.9925661 168.98937254
O=S(=O)(NCCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H6F17NO3S,541.9724138,2b,64.97027527200001 91.981174304 63.962450239999995 121.991738988 168.98937254 118.9925661,64.97027527200001 63.962450239999995 91.981174304 121.991738988 168.98937254 118.9925661
CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7H6F9NO4S,369.9801027,2b,218.98617898 282.94807921999995 311.974628316,218.98617898 282.94807921999995 311.974628316
CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9H8F11NO4S,433.9925592,2b,168.98937254 218.98617898,168.98937254 218.98617898
CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H8F13NO4S,483.9893656,2b,168.98937254 218.98617898,168.98937254 218.98617898
CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11H8F15NO4S,533.986172,2b,168.98937254 218.98617898,168.98937254 218.98617898
CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12H8F17NO4S,583.9829785,2b,168.98937254 218.98617898 268.98298542 418.97340474 482.93530498 525.9775041400001,525.9775041400001 418.97340474 218.98617898 168.98937254 482.93530498 268.98298542 
O=S(=O)(O)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9H8F13NO5S2,519.9563512,2b,77.96552424000001 397.95259113200007,397.95259113200007 77.96552424000001
CN(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H13F11N2O2S,433.0449291,2b,318.97979186 183.060901844 168.98937254 163.054673592 118.9925661,318.97979186 183.060901844 168.98937254 163.054673592 118.9925661
CN(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11H13F13N2O2S,483.0417355,2b,118.9925661 168.98937254 163.054673592 183.060901844 318.97979186 483.041740484,118.9925661 168.98937254 163.054673592 183.060901844 318.97979186 483.041740484
CN(C)CCC(CO)N(CCCS(=O)(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H21F13N2O6S2,635.0560653,3,513.052305168 196.06490392799998 168.98937254 149.039023528,513.052305168 196.06490392799998 168.98937254 149.039023528
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C16H9F26O4P,788.9750491,1,78.95905549 96.969620174 422.966108878 442.97233713 788.975054086,788.975054086 96.969620174 442.97233713 78.95905549 422.966108878 
